pid,smiles,tens_mod_clean
P402234,*NC(=O)c1cc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc(NC(=O)CCCCCn5c(=O)c4ccccc4c5=O)c1,2.3
P432808,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccc(C(C)(C)c%11ccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc%11)cc6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.3
P430458,*C(=O)Nc%11ccc(Oc9ccc(C(C)(C)c%10ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%12)cc%10)cc9)cc%11,2.3
P432596,*C(=O)Nc%14ccc(Oc%13cc(C(C)(C)C)c(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13C(C)(C)C)cc%14,2.3
P402393,c1ccc3c(c1)C(c4ccc(*)cc4)(c5ccc(NC(=O)c6cc(C(=O)N*)cc(NC(=O)C89CC7CC(CC(C7)C8)C9)c6)cc5)c2ccccc23,2.3
P432598,*C(=O)Nc%15ccc(Oc%14ccc(C(C(F)(F)F)(C(F)(F)F)c%13ccc(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13)cc%14)cc%15,2.3
P432805,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6cccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)c6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.3
P372385,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3ccc(c2ccc(C(=O)Nc1ccc(*)cc1)cc2)cc3)cc4)cc5)CC7CCC6C7)cc8,2.3
P372387,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3ccc(C(=O)Nc1ccc(*)cc1)cc3)cc4)cc5)CC7CCC6C7)cc8,2.3
P372388,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3cc(C(=O)Nc1ccc(*)cc1)ccc3)cc4)cc5)CC7CCC6C7)cc8,2.3
P372506,*OC1=CC=C(C(C(F)(F)(F))(C(F)(F)(F))C2=CC=C(OC3=CC=C(NC(=O)C4=CC(C(C(F)(F)(F))(C(F)(F)(F))C5=CC(C(=O)NC6=CC=C(*)C=C6)=C(C(=O)O)C=C5)=CC=C4(C(=O)O))C=C3)C=C2)C=C1,2.3
P373646,*c7ccc(C(=O)Nc6ccc(NC(=O)c5ccc(Oc3ccc(c1nn(*)c(=O)c2ccccc12)c4ccccc34)cc5)cc6)cc7,2.27
P074403,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1c6ccccc6,2.25
P432108,*C(=O)Nc%11ccc(Cc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)cc%12)cc%11,2.24
P373278,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C(C)(C)C,2.23
P130357,*c%13ccc(Oc%11cccc%12c(Oc%10ccc(n9c(=O)c8ccc(C(=O)Nc7ccc(c5sc(c3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)c(c4ccccc4)c5c6ccccc6)cc7)cc8c9=O)cc%10)cccc%11%12)cc%13,2.21
P372237,*OCCCCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,2.21
P430420,*C(=O)Nc9ccc(Oc8ccc(Oc7ccc(NC(=O)c6ccc5c(=O)n(c4ccc(S(=O)(=O)c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)c(=O)c5c6)cc7)cc8)cc9,2.21
P432809,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccc(C(C(F)(F)F)(C(F)(F)F)c%11ccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc%11)cc6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.2
P432595,*C(=O)Nc%14ccc(Oc%13ccc(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13C(C)(C)C)cc%14,2.2
P432599,*C(=O)Nc%15ccc(Oc%14c(C)cc(C(C)(C)c%13cc(C)c(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)c(C)c%13)cc%14C)cc%15,2.2
P432806,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccccc6(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8))cc5)ccc9)c(=O)c1c2)cc3c4=O,2.2
P432807,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccc(c%11ccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc%11)cc6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.2
P074470,*Oc1ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc(Oc3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(*)cc5)cc4)cc3)cc2)cc1,2.2
P430374,*c%10ccc(C(=O)Nc%11ccc(Oc%12ccc(C(C)(C)c9ccc(Oc6ccc(NC(=O)c5ccc(n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)cc6)cc9)cc%12)cc%11)cc%10,2.2
P373306,*c1ccc(NC(=O)c2ccc(OCCOCCOCCOCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)cc1,2.2
P432908,*C(=O)Nc9ccc(Oc8ccc(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3c(C)ccc(n2c(=O)c1ccc(*)cc1c2=O)c3)c(=O)c4c5)cc6)cc7)cc8)cc9,2.18
P370543,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C,2.18
P432126,*C(=O)Nc%13ccc(C%12(c9ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc4cccc5c(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cccc45)cc6)c(=O)c7c8)cc9)c%10ccccc%10c%11ccccc%11%12)cc%13,2.16
P373276,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3c(C)cc(C(C)(C)c4cc(C)c(NC(=O)c5ccc(*)cc5)c(C)c4)cc3C)cc2)cc1C(C)(C)C,2.15
P373277,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3c(C)cc(C(C)(C)c4cc(CC)c(NC(=O)c5ccc(*)cc5)c(C)c4)cc3CC)cc2)cc1C(C)(C)C,2.15
P074466,*OC1=CC=C(C(C(F)(F)(F))(C(F)(F)(F))C2=CC=C(OC3=CC=C(NC(=O)C4=CC(C(=O)NC5=CC=C(*)C=C5)=CC=C4)C=C3)C=C2)C=C1,2.1
P432691,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9ccc(C(=O)Nc5ccc(Oc6ccc(c7ccc(Oc8ccc(NC(=O)c%10ccc(*)cc%10)cc8)cc7)cc6)cc5)cc9)c(=O)c1c2)cc3c4=O,2.1
P373311,*c1cc(NC(=O)c2ccc(OCCOCCOCCOCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)ccc1,2.1
P430142,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3c(C)ccc(n2c(=O)c1ccc(*)cc1c2=O)c3)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,2.1
P372389,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3cc(C(=O)Nc1ccc(*)cc1)cc(C(C)(C)C)c3)cc4)cc5)CC7CCC6C7)cc8,2.1
P373019,*C(=O)c5cc(C(=O)Nc2ccc(Oc1ccc(N*)cc1)cc2)cc(NC(=O)CCCCCn4c(=O)c3ccccc3c4=O)c5,2.1
P373305,*c1ccc(NC(=O)c2ccc(OCCOCCOCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)cc1,2.1
P432801,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9ccc(C(=O)Nc5ccc(Oc6ccc(C(C(F)(F)F)(C(F)(F)F)c7ccc(Oc8ccc(NC(=O)c%10ccc(*)cc%10)cc8)cc7)cc6)cc5)cc9)c(=O)c1c2)cc3c4=O,2.1
P372386,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3ccc(S(=O)(=O)c2ccc(C(=O)Nc1ccc(*)cc1)cc2)cc3)cc4)cc5)CC7CCC6C7)cc8,2.1
P373274,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C)(C)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C(C)(C)C,2.1
P402236,*NC(=O)c1cc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc(NC(=O)CCCCCCCCCCn5c(=O)c4ccccc4c5=O)c1,2.1
P373275,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C)(C)c4cc(C)c(NC(=O)c5ccc(*)cc5)cc4)cc3C)cc2)cc1C(C)(C)C,2.09
P074405,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Oc4ccc(Oc5ccc(NC(=O)c7ccc(*)cc7)cc5)cc4)cc3)cc2)cc1c6ccccc6,2.08
P130354,*c%12ccc(Oc%10cccc%11c(Oc9ccc(n8c(=O)c7ccc(C(=O)Nc6ccc(Oc5ccc(C(c4ccc(Oc3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)(C)C)cc5)cc6)cc7c8=O)cc9)cccc%10%11)cc%12,2.08
P373649,*c7ccc(C(=O)Nc8ccc(Oc9ccc(Oc6ccc(NC(=O)c5ccc(Oc3ccc(c1nn(*)c(=O)c2ccccc12)c4ccccc34)cc5)cc6C(F)(F)F)cc9)c(C(F)(F)F)c8)cc7,2.08
P432924,*C(=O)Nc9ccc(Oc8ccc(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3ccc(Oc%10ccc(C(C)(C)c%11ccc(Oc%12ccc(n2c(=O)c1ccc(*)cc1c2=O)cc%12)cc%11)cc%10)cc3)c(=O)c4c5)cc6)cc7)cc8)cc9,2.07
P370544,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Cc4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C,2.07
P430140,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3cccc(n2c(=O)c1ccc(*)cc1c2=O)c3)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,2.07
P100008,*NCCCCCCNC(=O)CCCCCCCC(=O)*,2.06
P074404,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Cc4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1c6ccccc6,2.05
P432909,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5ccc(Cc%10ccc(n4c(=O)c3ccc(*)cc3c4=O)cc%10)cc5)c(=O)c6c7)cc8)cc9,2.05
P430450,*C(=O)Nc9cccc(Oc%10ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%10)c9,2.03
P430143,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c%12ccc(Cc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc%12)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,2.02
P430138,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,2.02
P430421,*C(=O)Nc8ccc(Oc7ccc(NC(=O)c6ccc5c(=O)n(C4CCC(CC3CCC(n2c(=O)c1ccc(*)cc1c2=O)CC3)CC4)c(=O)c5c6)cc7)cc8,2.02
P100023,*NCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)*,2.02
P130346,*c9ccc(Oc7cccc8c(Oc6ccc(n5c(=O)c4ccc(C(=O)Nc3cccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)c3)cc4c5=O)cc6)cccc78)cc9,2.01
P370406,*Oc4cccc5ccc(Oc3ccc(NC(=O)c2cccc(C(=O)Nc1ccc(*)cc1)c2)cc3)cc45,2.01
P430144,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c%12ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc%12)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,2.01
P074437,*Oc1ccc(C(C)(C)c2ccc(C(C)(C)c3ccc(Oc4ccc(C(=O)Nc5cc(NC(=O)c6ccc(*)cc6)ccc5)cc4)cc3)cc2)cc1,2.0
P130353,*c%10ccc(Oc8cccc9c(Oc7ccc(n6c(=O)c5ccc(C(=O)Nc4ccc(C(c3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)(C(F)(F)F)C(F)(F)F)cc4)cc5c6=O)cc7)cccc89)cc%10,2.0
P373667,*Oc1c(C#N)c(Oc2ccc(C(=O)Nc3ccc(Cc5ccc(NC(=O)c4ccc(*)cc4)cc5)cc3)cc2)ccc1,2.0
P430145,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c%12ccc(Oc3cccc(n2c(=O)c1ccc(*)cc1c2=O)c3)cc%12)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,2.0
P430151,*C(=O)Nc%16ccc(Oc%15ccc(C%14(c%12ccc(Oc%11ccc(NC(=O)c%10ccc9c(=O)n(c8ccc(Oc7ccc(C6(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)NC(=O)c5ccccc56)cc7)cc8)c(=O)c9c%10)cc%11)cc%12)NC(=O)c%13ccccc%13%14)cc%15)cc%16,2.0
P402391,*NC(=O)c4cc(NC(=O)C23CC1CC(CC(C1)C2)C3)cc(C(=O)Nc5ccc(C(C(F)(F)F)(C(F)(F)F)c6ccc(*)cc6)cc5)c4,2.0
P373020,*C(=O)c5cc(C(=O)Nc2ccc(Oc1ccc(N*)cc1)cc2)cc(NC(=O)CCCCCCCCCCn4c(=O)c3ccccc3c4=O)c5,2.0
P372384,*Oc8ccc(C6(c5ccc(Oc4ccc(NC(=O)c3ccc2cc(C(=O)Nc1ccc(*)cc1)ccc2c3)cc4)cc5)CC7CCC6C7)cc8,2.0
P430147,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c%12ccc(Oc%13ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc%13)cc%12)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,1.98
P370415,*Oc4cccc5ccc(Oc3ccc(NC(=O)c2ccc(Oc6ccccc6Oc7ccc(C(=O)Nc1ccc(*)cc1)cc7)cc2)cc3)cc45,1.98
P430005,O(c1ccc(n5c(=O)c4ccc(*)cc4c5=O)cc1)(c2ccc(n7c(=O)c6cc(C(=O)Nc3ccc(Oc8ccc(NC(=O)*)cc8)cc3)ccc6c7=O)cc2),1.96
P100002,*NCCCCNC(=O)CCCCC(=O)*,1.94
P074406,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Oc4ccc(c8ccc(Oc5ccc(NC(=O)c7ccc(*)cc7)cc5)cc8)cc4)cc3)cc2)cc1c6ccccc6,1.94
P372795,*Oc1ccc(C(=O)Nc2cc(C(O)Cc3ccc(NC(=O)c4ccc(*)cc4)cc3)ccc2)cc1,1.93
P373647,*c7ccc(C(=O)Nc8ccc(Oc6ccc(NC(=O)c5ccc(Oc3ccc(c1nn(*)c(=O)c2ccccc12)c4ccccc34)cc5)cc6)cc8)cc7,1.93
P430460,*C(=O)Nc%11ccc(Oc9ccc%10ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%12)cc%10c9)cc%11,1.92
P430456,*C(=O)Nc9ccc(C(C(F)(F)F)(C(F)(F)F)c%10ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%10)cc9,1.91
P430490,*C(=O)Nc%11ccc(c9sc(c%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(Oc5ccc4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4c5)cc6)c(=O)c7c8)cc%12)c(c%14ccccc%14)c9c%13ccccc%13)cc%11,1.91
P370550,*Oc6ccc(C(c5ccc(Oc4ccc(NC(=O)c3ccc2cc(C(=O)Nc1ccc(*)cc1)ccc2c3)cc4)cc5)(C(F)(F)F)C(F)(F)F)cc6,1.9
P402243,*NC(=O)c1ccc(C(=O)Nc2cc(C(O)Cc3ccc(*)cc3)ccc2)cc1,1.9
P373558,*OCCCCCCOc2ccc(NC(=O)c3cc(C(=O)Nc4ccc(*)cc4)cc(C(C)(C)C)c3)cc2,1.9
P074446,*Oc1ccc(C(C)(C)c2cc(C(C)(C)c3ccc(Oc4ccc(C(=O)Nc5ccc(NC(=O)c6ccc(*)cc6)cc5)cc4)cc3)ccc2)cc1,1.9
P430002,*c5ccc(C(=O)Nc4cccc(n3c(=O)c2cc1c(=O)n(*)c(=O)c1cc2c3=O)c4)cc5,1.865
P372238,*OCCCCCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,1.86
P430141,*C(=O)Nc%11cccc(NC(=O)c%10ccc9c(=O)n(c8ccc(Oc7ccc(C6(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)NC(=O)c5ccccc56)cc7)cc8)c(=O)c9c%10)c%11,1.86
P370373,*c6ccc(Oc5ccc(C(=O)c4ccc(Oc3ccc(C2(*)NC(=O)c1ccccc12)cc3)cc4)cc5)cc6,1.86
P074467,*OC1=CC=C(C(C(F)(F)(F))(C(F)(F)(F))C2=CC=C(OC3=CC=C(NC(=O)C4=CC(C(=O)NC5=CC=C(*)C=C5)=CC(C(C)(C)C)=C4)C=C3)C=C2)C=C1,1.85
P430149,*C(=O)Nc%11ccc(Oc%10ccc(C9(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c%12ccc(Oc%13ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc%13C)cc%12)c(=O)c4c5)cc6)cc7)NC(=O)c8ccccc89)cc%10)cc%11,1.85
P430158,*C(=O)Nc%14ccc(Oc%13ccc(S(=O)(=O)c%12ccc(Oc%11ccc(NC(=O)c%10ccc9c(=O)n(c8ccc(Oc7ccc(C6(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)NC(=O)c5ccccc56)cc7)cc8)c(=O)c9c%10)cc%11)cc%12)cc%13)cc%14,1.85
P370407,*Oc4cccc5ccc(Oc3ccc(NC(=O)c2cc(C(C)(C)C)cc(C(=O)Nc1ccc(*)cc1)c2)cc3)cc45,1.85
P430152,*C(=O)N(c%12ccc(Cc%11ccc(NC(=O)c%10ccc9c(=O)n(c8ccc(Oc7ccc(C6(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)NC(=O)c5ccccc56)cc7)cc8)c(=O)c9c%10)cc%11)cc%12),1.84
P430155,*C(=O)N(c%12ccc(Sc%11ccc(NC(=O)c%10ccc9c(=O)n(c8ccc(Oc7ccc(C6(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)NC(=O)c5ccccc56)cc7)cc8)c(=O)c9c%10)cc%11)cc%12),1.84
